chron_cleaned,count,begin_year_manual,end_year_manual,dynasty_grouped,dynasty_grouped_multiple,long_term_grouped,long_term_grouped_multiple,note
,13590,N/A,N/A,,,,,
20th century,2814,1901,2000,"Qing, Republic, People's Republic",Yes,Twentieth Century,,
"qing dynasty, 1644-1912",1934,1644,1912,Qing,,Ming-Qing,,
"republic, 1912-1949",1561,1912,1949,Republic,,Twentieth Century,,
"ming dynasty, 1368-1644",1266,1368,1644,Ming,,Ming-Qing,,
19th century,1160,1801,1900,Qing,,Ming-Qing,,
"civil war, 1945-1949",998,1945,1949,Republic,,Twentieth Century,,
"song dynasty, 960-1279",943,960,1279,Song,,Tang-Song-Yuan,,
"han dynasty, 202 bc-220 ad",918,-202,220,Han,,Pre-Tang,,
to 221 bc,863,indefinite,-221,"Pre-Zhou, Zhou",Yes,Pre-Tang,,"Pre-Xia, Xia, Shang all defined as Pre-Zhou"
"tang dynasty, 618-907",806,618,907,Tang,,Tang-Song-Yuan,,
1949-,769,1949,indefinite,People's Republic,,Twentieth Century,,The 21st century is included
"cultural revolution, 1966-1976",723,1966,1976,People's Republic,,Twentieth Century,,
1949-1976,714,1949,1976,People's Republic,,Twentieth Century,,
"revolution, 1911-1912",595,1911,1912,Qing,,Ming-Qing,,
1937-1945,573,1937,1945,Republic,,Twentieth Century,,
1976-2002,557,1976,2002,People's Republic,,Twentieth Century,,The 21st century is included
"qin dynasty, 221-207 bc",505,-221,-207,Qin,,Pre-Tang,,
221 bc-960 ad,460,-221,960,"Qin, Han, Three Kingdoms, Jin, Northern and Southern Dynasties, Sui, Tang, Five Dynasties",Yes,"Pre-Tang, Tang-Song-Yuan",Yes,
1912-1928,408,1912,1928,Republic,,Twentieth Century,,
1861-1912,395,1861,1912,Qing,,Ming-Qing,,
1912-1949,388,1912,1949,Republic,,Twentieth Century,,
"tiananmen square incident, 1989",363,1989,1989,People's Republic,,Twentieth Century,,
"warring states, 403-221 bc",354,-403,-221,Zhou,,Pre-Tang,,
"yuan dynasty, 1260-1368",347,1260,1368,Yuan,,Tang-Song-Yuan,,
1644-1912,341,1644,1912,Qing,,Ming-Qing,,
1928-1937,310,1928,1937,Republic,,Twentieth Century,,
"taiping rebellion, 1850-1864",297,1850,1864,Qing,,Ming-Qing,,
"long march, 1934-1935",284,1934,1935,Republic,,Twentieth Century,,
960-1644,282,960,1644,"Song, Yuan, Ming",Yes,"Tang-Song-Yuan, Ming-Qing",Yes,
"boxer rebellion, 1899-1901",270,1899,1901,Qing,,Ming-Qing,,
"three kingdoms, 220-265",245,220,265,Three Kingdoms,,Pre-Tang,,
