,Dynasty,Total_count,dynasty_weight,specialization_index
8,Qing,9093,7140.380952380952,0.785261294664132
9,Republic,8091,6183.666666666667,0.7642648209945206
5,People's Republic,6806,4902.166666666667,0.7202713292193164
10,Song,3105,1747.5815018315018,0.5628281809441229
3,Ming,3050,1670.5815018315018,0.5477316399447547
1,Han,2987,1163.1576923076923,0.3894066596276171
12,Tang,2918,1076.1398351648352,0.36879363782208197
15,Zhou,2709,1286.0326923076923,0.47472598460970555
7,Qin,2559,735.1576923076923,0.2872831935551748
13,Three Kingdoms,2467,519.324358974359,0.21050845519836198
4,Northern and Southern Dynasties,2447,490.71721611721614,0.20053829837238094
2,Jin,2394,444.574358974359,0.18570357517725938
11,Sui,2246,397.7648351648352,0.17709921423189456
0,Five Dynasties,2161,358.1398351648352,0.16572875296845682
6,Pre-Zhou,2083,660.0326923076923,0.31686639093024116
14,Yuan,1982,624.5815018315018,0.31512689295232177
